Tract,Median_EMV_2017
27123042800,110800
27123031300,98600
27123030800,120000
27123031400,100300
27053003800,306000
27053103700,299000
27123030500,121450
27123042001,397200
27053103400,218750
27053109400,180000
27053107000,288750
27053126200,227600
27123034601,130000
27053103600,271000
27053125800,151500
27053125700,102000
27053000603,235000
27053008300,197500
27053102300,148500
27053103100,221500
27037060829,322000
27053020804,172000
27053110100,226850
27053101900,215000
27053109000,280500
27053005902,175250
27123032500,114300
27053026809,176550
27053006800,323500
27053020903,179000
27053009500,202250
27053126000,157250
27123031801,138700
27053100700,140000
27123033500,124400
27053110200,213000
27053100900,101000
27123031802,153900
27053110900,228500
27003050110,240200
27053008400,193000
27053026814,200850
27053021400,166000
27053105201,310800
27053126100,1197900
27053102100,109500
27053000601,202000
27053001100,205000
27053027202,272000
27003051102,194900
27053020801,163000
27053100800,111000
27053007700,244250
27053108700,193500
27053020700,173000
27053000300,170500
27053108900,221000
27053103900,252250
27053026819,193050
27003051305,171550
27053012101,206000
27123032400,118800
27053003300,138000
27053101600,103750
27123034400,121500
27123031702,149100
27053101800,179000
27123032700,101300
27003050109,224700
27053000101,137500
27053012003,263500
27003050602,176700
27123030703,166500
27163071003,187350
27053027501,579000
27003051304,164000
27123036900,156700
27003051502,179900
27053107600,252500
27053026910,263000
27053108600,186500
27053009600,208750
27003051202,177700
27003050505,189800
27053026811,195000
27053102500,211000
27053101200,236500
27053025401,196800
27053020302,166000
27053110400,199000
27053020303,168000
27053026810,187700
27053100500,171500
27053021200,197000
27123032600,100600
27003050607,174500
27053980000,166000
27053000102,121500
27003050706,181800
27003050111,230900
27003050710,170800
27053026906,212000
27123033600,169200
27003051201,176300
27053101300,103000
27053020304,172000
27053020400,172000
27053023300,233000
27053002400,198000
27123035900,163700
27123031500,103400
27053020600,160000
27003051302,202550
27003051206,162900
27123033700,127800
27037060301,167700
27053108800,207500
27003051501,171600
27053012102,185000
27003050224,233300
27123031000,122100
27123036800,163550
27053106700,368000
27053024902,201000
27123037601,232500
27053125900,147500
27053102600,179500
27123031100,132200
27123030702,155400
27053023000,275950
27003050232,236200
27053102900,158500
27003050605,188900
27053024400,203000
27053011704,296000
27053026702,193000
27053002200,115500
27053011000,242000
27003050702,173000
27053110000,176500
27037060302,190000
27053111600,343000
27003050108,182600
27053025403,216600
27053026818,181700
27003050712,226050
27123040901,173400
27053026903,204000
27053020301,167000
27053024801,205000
27053111500,357000
27003050610,206500
27003050704,173150
27053021300,156000
27053024600,206000
27053109300,264000
27123030900,120000
27053024802,2.00E+05
27053026812,263400
27123036000,139000
27003050223,241200
27053024700,208000
27053026908,208000
27003050107,184900
27003051101,184300
27053024903,203000
27123036700,172700
27123030704,160500
27123040902,182200
27003050805,212600
27037060401,167800
27123030601,154200
27163070912,214500
27053001700,178750
27053003200,155500
27037060104,235900
27037060402,168300
27037060743,236550
27123032200,170900
27123040704,293200
27123037402,199800
27053021601,263000
27123040703,294000
27053008200,265000
27003050609,219800
27003051203,213800
27053026823,264700
27123030602,157000
27053021503,213000
27053025601,228300
27037060817,238450
27053021602,275000
27037060103,223650
27003050225,254850
27123033900,212650
27053105400,184000
27123040200,293550
27003050816,217300
27123040707,306200
27003051400,149300
27053105700,235250
27053022101,231850
27037060507,279600
27123037403,221100
27053110500,228500
27053021001,194000
27053125500,204650
27003050235,225400
27053024901,175000
27123031600,108500
27123030400,173000
27123034702,151200
27053027001,360500
27053026816,196400
27053110800,291500
27037061005,209600
27053027203,548500
27037060105,202550
27003050217,290300
27053021100,158000
27123040302,207000
27053025803,225500
27053111100,233500
27053012001,281000
27003051002,175900
27003050808,180000
27053022102,252800
27053025603,243200
27053008500,187000
27123034602,146900
27003050501,168500
27053011703,331500
27037060711,248700
27053100200,140000
27003050608,203350
27003050810,201250
27003050218,250300
27053026807,191800
27123033000,107700
27053109700,201000
27003050709,210100
27053023400,262000
27053020500,152000
27053020200,171000
27003050228,218800
27003050807,182600
27053104000,198500
27053021505,227000
27003050811,175750
27003050806,204800
27053025802,239500
27053011998,221000
27003050220,248100
27053024500,213000
27037060904,189300
27053104100,139500
27003050229,234000
27123040401,197900
27053020902,198000
27037060713,260250
27003050711,217100
27123041302,244100
27053026815,202750
27003051103,187100
27053025201,194350
27003050818,342250
27053106400,261500
27003050809,227550
27037061008,204600
27053011800,241000
27037060202,184000
27053103000,267500
27003050707,245600
27037060737,262000
27123041200,179000
27053024100,222000
27123040402,221400
27053022302,209600
27123034701,150000
27053027601,223000
27123040301,220600
27123034500,104450
27053107400,185000
27053021002,207000
27003050401,202700
27037060201,189300
27003050606,202600
27123042700,180300
27163070203,300750
27053025701,307000
27003050227,226800
27003050504,168600
27037061106,226950
27123040503,268300
27003050234,244150
27053107500,225000
27123040706,290200
27003050219,238100
27037061402,264000
27003050208,218950
27053022200,259350
27053025100,235250
27037060738,271200
27123040100,260500
27163070204,332400
27123037000,159550
27053102000,126000
27003050402,194400
27123036400,321100
27163070104,220500
27123041602,227000
27053025605,257850
27123032300,162700
27053027602,214000
27123041700,226000
27053021502,174000
27053027700,371000
27003050215,276700
27163070502,214700
27053021900,340000
27123041001,209150
27003050226,226700
27003050116,279300
27053125600,313500
27053027201,655000
27003050233,233900
27053106200,250000
27163071206,310650
27037060102,180400
27003050114,266250
27053027300,576000
27019091201,166500
27163070105,285150
27053026820,314500
27123042201,174150
27037060503,206000
27003050820,276400
27123037200,136800
27037060906,254000
27053021501,197000
27053023901,443400
27053122600,232300
27037060826,259200
27003050216,318900
27123037602,163700
27123036600,276050
27053104900,269500
27053023100,533850
27037060709,248600
27123033800,178900
27053025205,206800
27123031701,101500
27053022901,414700
27163070910,189000
27053022902,373350
27053024300,207000
27123040705,242150
27053027102,310000
27037061107,254400
27003050230,346100
27037060739,244500
27123030300,216200
27053020102,263000
27123041107,222200
27037061102,197900
27019090602,344550
27053025302,212100
27053002700,127500
27053022301,298600
27053100400,114100
27123033400,179400
27003050902,194250
27003050221,285400
27053026907,326000
27003050813,238050
27123033200,224500
27003050115,244950
27053122500,219050
27037060750,222900
27053024200,210000
27163071300,176650
27003050210,256600
27123041400,237600
27053109900,314250
27123041105,253100
27037060741,296200
27037060101,174400
27123032100,175200
27123042504,248150
27053023801,473450
27037060721,211800
27053111300,418000
27123036300,344150
27123041106,259550
27053024006,480100
27123035200,314000
27037060502,203200
27037060714,261500
27037060735,224350
27053027101,527000
27123037100,148800
27003050222,277100
27037060745,263800
27053109200,310750
27163071208,201000
27123040801,388700
27163071400,203200
27053026909,291000
27123042302,183400
27037060710,237800
27123042202,208600
27123035300,282300
27037060819,275850
27053025801,246950
27037060818,269300
27123041002,213000
27053023802,353600
27053025702,266800
