TRACT,cluster,cluster_type
27139081100,1,"Percent-difference, no z-scores, 2-solution"
27037060904,2,"Percent-difference, no z-scores, 2-solution"
27037060905,2,"Percent-difference, no z-scores, 2-solution"
27037060820,1,"Percent-difference, no z-scores, 2-solution"
27037060821,2,"Percent-difference, no z-scores, 2-solution"
27037060902,2,"Percent-difference, no z-scores, 2-solution"
27019091100,2,"Percent-difference, no z-scores, 2-solution"
27037060906,2,"Percent-difference, no z-scores, 2-solution"
27037060907,2,"Percent-difference, no z-scores, 2-solution"
27037060815,2,"Percent-difference, no z-scores, 2-solution"
27037061108,2,"Percent-difference, no z-scores, 2-solution"
27037060818,2,"Percent-difference, no z-scores, 2-solution"
27037060813,2,"Percent-difference, no z-scores, 2-solution"
27037060816,1,"Percent-difference, no z-scores, 2-solution"
27037061107,2,"Percent-difference, no z-scores, 2-solution"
27139080903,2,"Percent-difference, no z-scores, 2-solution"
27139080904,2,"Percent-difference, no z-scores, 2-solution"
27037060819,1,"Percent-difference, no z-scores, 2-solution"
27037060814,1,"Percent-difference, no z-scores, 2-solution"
27037060817,1,"Percent-difference, no z-scores, 2-solution"
27139080906,2,"Percent-difference, no z-scores, 2-solution"
27037060742,1,"Percent-difference, no z-scores, 2-solution"
27037061007,2,"Percent-difference, no z-scores, 2-solution"
27037060829,2,"Percent-difference, no z-scores, 2-solution"
27139080205,1,"Percent-difference, no z-scores, 2-solution"
27037060746,2,"Percent-difference, no z-scores, 2-solution"
27037060812,2,"Percent-difference, no z-scores, 2-solution"
27037060739,2,"Percent-difference, no z-scores, 2-solution"
27037060826,2,"Percent-difference, no z-scores, 2-solution"
27139080204,1,"Percent-difference, no z-scores, 2-solution"
27037060828,2,"Percent-difference, no z-scores, 2-solution"
27037061105,2,"Percent-difference, no z-scores, 2-solution"
27139080905,1,"Percent-difference, no z-scores, 2-solution"
27037061003,1,"Percent-difference, no z-scores, 2-solution"
27037060811,2,"Percent-difference, no z-scores, 2-solution"
27037061106,2,"Percent-difference, no z-scores, 2-solution"
27037060745,2,"Percent-difference, no z-scores, 2-solution"
27037061008,2,"Percent-difference, no z-scores, 2-solution"
27037060823,2,"Percent-difference, no z-scores, 2-solution"
27037061009,1,"Percent-difference, no z-scores, 2-solution"
27139080302,1,"Percent-difference, no z-scores, 2-solution"
27037061005,2,"Percent-difference, no z-scores, 2-solution"
27037060741,2,"Percent-difference, no z-scores, 2-solution"
27037060824,2,"Percent-difference, no z-scores, 2-solution"
27037061102,2,"Percent-difference, no z-scores, 2-solution"
27037060825,2,"Percent-difference, no z-scores, 2-solution"
27139080700,2,"Percent-difference, no z-scores, 2-solution"
27037061004,2,"Percent-difference, no z-scores, 2-solution"
27037060711,2,"Percent-difference, no z-scores, 2-solution"
27139080202,2,"Percent-difference, no z-scores, 2-solution"
27037060806,2,"Percent-difference, no z-scores, 2-solution"
27139080203,2,"Percent-difference, no z-scores, 2-solution"
27037060709,2,"Percent-difference, no z-scores, 2-solution"
27037060713,2,"Percent-difference, no z-scores, 2-solution"
27037060710,2,"Percent-difference, no z-scores, 2-solution"
27037060822,2,"Percent-difference, no z-scores, 2-solution"
