TRACT,cluster,cluster_type
27139081100,1,"Percent-difference, no z-scores, 7-solution"
27037060904,2,"Percent-difference, no z-scores, 7-solution"
27037060905,3,"Percent-difference, no z-scores, 7-solution"
27037060820,1,"Percent-difference, no z-scores, 7-solution"
27037060821,4,"Percent-difference, no z-scores, 7-solution"
27037060902,4,"Percent-difference, no z-scores, 7-solution"
27019091100,4,"Percent-difference, no z-scores, 7-solution"
27037060906,5,"Percent-difference, no z-scores, 7-solution"
27037060907,2,"Percent-difference, no z-scores, 7-solution"
27037060815,4,"Percent-difference, no z-scores, 7-solution"
27037061108,2,"Percent-difference, no z-scores, 7-solution"
27037060818,3,"Percent-difference, no z-scores, 7-solution"
27037060813,2,"Percent-difference, no z-scores, 7-solution"
27037060816,5,"Percent-difference, no z-scores, 7-solution"
27037061107,2,"Percent-difference, no z-scores, 7-solution"
27139080903,3,"Percent-difference, no z-scores, 7-solution"
27139080904,2,"Percent-difference, no z-scores, 7-solution"
27037060819,5,"Percent-difference, no z-scores, 7-solution"
27037060814,1,"Percent-difference, no z-scores, 7-solution"
27037060817,1,"Percent-difference, no z-scores, 7-solution"
27139080906,2,"Percent-difference, no z-scores, 7-solution"
27037060742,1,"Percent-difference, no z-scores, 7-solution"
27037061007,5,"Percent-difference, no z-scores, 7-solution"
27037060829,5,"Percent-difference, no z-scores, 7-solution"
27139080205,5,"Percent-difference, no z-scores, 7-solution"
27037060746,5,"Percent-difference, no z-scores, 7-solution"
27037060812,2,"Percent-difference, no z-scores, 7-solution"
27037060739,3,"Percent-difference, no z-scores, 7-solution"
27037060826,3,"Percent-difference, no z-scores, 7-solution"
27139080204,4,"Percent-difference, no z-scores, 7-solution"
27037060828,5,"Percent-difference, no z-scores, 7-solution"
27037061105,3,"Percent-difference, no z-scores, 7-solution"
27139080905,1,"Percent-difference, no z-scores, 7-solution"
27037061003,1,"Percent-difference, no z-scores, 7-solution"
27037060811,3,"Percent-difference, no z-scores, 7-solution"
27037061106,3,"Percent-difference, no z-scores, 7-solution"
27037060745,3,"Percent-difference, no z-scores, 7-solution"
27037061008,2,"Percent-difference, no z-scores, 7-solution"
27037060823,5,"Percent-difference, no z-scores, 7-solution"
27037061009,1,"Percent-difference, no z-scores, 7-solution"
27139080302,1,"Percent-difference, no z-scores, 7-solution"
27037061005,5,"Percent-difference, no z-scores, 7-solution"
27037060741,5,"Percent-difference, no z-scores, 7-solution"
27037060824,3,"Percent-difference, no z-scores, 7-solution"
27037061102,2,"Percent-difference, no z-scores, 7-solution"
27037060825,5,"Percent-difference, no z-scores, 7-solution"
