TRACT,cluster_2000,cluster_2015,cluster_2017,Typology_15,Typology_17,Typology_change
27139081100,1,1,1,G,G,0
27037060904,2,2,3,A,B,1
27037060905,1,1,1,G,G,0
27037060820,1,1,1,G,G,0
27037060821,2,1,1,E,E,0
27037060902,1,1,1,G,G,0
27019091100,2,1,1,E,E,0
27037060906,1,1,1,G,G,0
27037060907,1,1,1,G,G,0
27037060815,1,1,1,G,G,0
27037061108,2,3,1,B,E,1
27037060818,1,1,1,G,G,0
27037060813,1,1,1,G,G,0
27037060816,1,1,1,G,G,0
27037061107,2,3,2,B,A,1
27139080903,1,1,1,G,G,0
27139080904,2,1,2,E,A,1
27037060819,1,1,1,G,G,0
27037060814,1,1,1,G,G,0
27037060817,2,1,1,E,E,0
27139080906,1,3,1,F,G,1
27037060742,1,3,2,F,C,1
27037061007,1,1,1,G,G,0
27037060829,1,1,1,G,G,0
27139080205,1,1,1,G,G,0
27037060746,1,3,2,F,C,1
27037060812,2,2,3,A,B,1
27037060739,2,2,3,A,B,1
27037060826,1,1,1,G,G,0
27139080204,1,1,1,G,G,0
27037060828,1,1,1,G,G,0
27037061105,2,2,3,A,B,1
27139080905,1,1,1,G,G,0
27037061003,2,3,1,B,E,1
27037060811,2,3,2,B,A,1
27037061106,2,3,2,B,A,1
27037060745,2,2,3,A,B,1
27037061008,2,2,3,A,B,1
27037060823,1,1,1,G,G,0
27037061009,2,1,1,E,E,0
27139080302,1,1,1,G,G,0
27037061005,2,2,3,A,B,1
27037060741,1,2,3,C,F,1
27037060824,2,3,3,B,B,0
27037061102,2,3,2,B,A,1
27037060825,1,1,1,G,G,0
27139080700,3,1,1,E,E,0
27037061004,1,1,1,G,G,0
27037060711,3,2,3,C,D,1
27139080202,1,1,1,G,G,0
27037060806,1,3,2,F,C,1
27139080203,1,1,1,G,G,0
27037060709,2,2,3,A,B,1
27037060713,2,3,2,B,A,1
27037060710,3,2,3,C,D,1
27037060822,1,1,2,G,C,1
27037060805,3,2,3,C,D,1
27139080201,1,1,1,G,G,0
27037060714,2,2,2,A,A,0
27037060738,2,2,3,A,B,1
27139080301,1,1,1,G,G,0
27139080100,3,2,3,C,D,1
27037060737,3,2,3,C,D,1
27163071400,2,3,2,B,A,1
27037060734,1,1,1,G,G,0
27037060748,2,2,3,A,B,1
27037060732,1,1,1,G,G,0
27037060731,1,1,1,G,G,0
27139080600,1,1,3,G,F,1
27037060509,1,3,2,F,C,1
27019091e3,3,1,3,E,D,1
27037060744,1,1,2,G,C,1
27037060508,1,1,1,G,G,0
27163071207,1,1,1,G,G,0
27139080500,3,2,3,C,D,1
27053025903,2,3,2,B,A,1
27139080400,3,2,3,C,D,1
27037060735,2,2,3,A,B,1
27037060733,2,3,2,B,A,1
27037060747,2,2,3,A,B,1
27053025805,2,3,2,B,A,1
27037060743,2,2,3,A,B,1
27053025907,2,3,2,B,A,1
27053026018,1,1,1,G,G,0
27053025801,3,3,2,D,C,1
27019090702,1,1,1,G,G,0
27019090800,1,1,1,G,G,0
27053025802,2,3,2,B,A,1
27019090900,1,1,1,G,G,0
27037060721,2,2,3,A,B,1
27037060730,1,1,1,G,G,0
27053025803,2,2,3,A,B,1
27037060729,1,1,1,G,G,0
27037060750,2,2,3,A,B,1
27163071209,1,1,1,G,G,0
27019090302,1,1,1,G,G,0
27053025701,2,3,2,B,A,1
27019090401,1,1,1,G,G,0
27019090402,1,1,1,G,G,0
27019090301,2,3,2,B,A,1
27053025301,2,3,2,B,A,1
27053025906,2,3,2,B,A,1
27037060716,1,1,1,G,G,0
27163071208,2,2,3,A,B,1
27037060725,3,2,3,C,D,1
27053025302,3,2,3,C,D,1
27053025702,2,2,3,A,B,1
27037060727,2,2,3,A,B,1
27037060749,3,2,3,C,D,1
27037060728,1,1,1,G,G,0
27053026016,1,1,1,G,G,0
27053026022,1,1,1,G,G,0
27163071300,2,2,3,A,B,1
27053025100,3,2,3,C,D,1
27037060507,1,3,2,F,C,1
27053026021,1,1,1,G,G,0
27053025403,3,2,3,C,D,1
27053025205,3,2,3,C,D,1
27053125500,3,2,3,C,D,1
27037060503,2,2,3,A,B,1
27163071206,1,1,1,G,G,0
27037060726,3,2,3,C,D,1
27037060505,2,2,3,A,B,1
27037060717,1,1,1,G,G,0
27053025601,3,2,2,C,C,0
27053026015,1,1,2,G,C,1
27053025905,2,3,2,B,A,1
27053025605,3,3,3,D,D,0
27037060502,2,2,3,A,B,1
27053025401,3,2,3,C,D,1
27053025603,2,3,2,B,A,1
27019090701,1,1,1,G,G,0
27053026020,2,3,2,B,A,1
